# mapping_set_id: https://w3id.org/commons/ols/mappings/efo.ols.obsolete.sssom.tsv
# mapping_set_group: ols_sssom_extracts
# mapping_set_confidence: '0.7'
# mapping_provider: https://www.ebi.ac.uk/ols4/ontologies/efo
# mapping_tool: https://www.ebi.ac.uk/ols4
# mapping_set_title: OLS extracted EFO mappings (obsolete terms)
# mapping_set_description: These mappings were extracted during the OLS dataload from EFO for obsolete terms
# mapping_date: '2026-07-27'
# other:
#   local_id: efo.ols.obsolete
#   prefix: EFO
#   ontology: Experimental Factor Ontology (EFO)
# local_name: efo.ols.obsolete.sssom.tsv
# curie_map:
#   semapv: https://w3id.org/semapv/vocab/
#   owl: http://www.w3.org/2002/07/owl#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   chebi: http://purl.obolibrary.org/obo/chebi/
#   inchi: 'https://bioregistry.io/inchi:'
#   inchikey: 'https://bioregistry.io/inchikey:'
#   smiles: 'https://bioregistry.io/smiles:'
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   SCTID: http://purl.bioontology.org/ontology/SNOMEDCT/
#   MESH: http://id.nlm.nih.gov/mesh/
#   MedDRA: https://bioportal.bioontology.org/ontologies/MEDDRA?p=classes&conceptid=
#   OMIM: https://omim.org/entry/
#   Orphanet: http://www.orpha.net/ORDO/Orphanet_
#   UMLS: https://uts.nlm.nih.gov/uts/umls/concept/
#   CL: http://purl.obolibrary.org/obo/CL_
#   NCIt: http://purl.obolibrary.org/obo/NCIT_
#   BTO: http://purl.obolibrary.org/obo/BTO_
#   EHDAA: http://purl.obolibrary.org/obo/EHDAA_
#   EMAPA: 'http://www.informatics.jax.org/vocab/gxd/anatomy/EMAPA:'
#   EV: http://purl.obolibrary.org/obo/EV_
#   FMA: 'https://www.ebi.ac.uk/ols4/ontologies/fma/terms?obo_id=FMA:'
#   MA: 'http://www.informatics.jax.org/searches/AMA.cgi?id=MA:'
#   MAT: http://purl.obolibrary.org/obo/MAT_
#   TAO: http://purl.obolibrary.org/obo/TAO_
#   ZFA: 'https://zfin.org/action/ontology/term/ZFA:'
#   MFO: http://purl.obolibrary.org/obo/MFO_
#   XAO: http://purl.obolibrary.org/obo/XAO_
#   SNOMEDCT: http://purl.bioontology.org/ontology/SNOMEDCT/
#   ICD10: https://icd.who.int/browse10/2019/en#/
#   ICD9: http://www.icd9data.com/getICD9Code.ashx?icd9=
#   Wikipedia: http://en.wikipedia.org/wiki/
#   ncit: http://purl.obolibrary.org/obo/NCIT_
#   HGNC: 'https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:'
#   HP: http://purl.obolibrary.org/obo/HP_
#   ISBN: https://www.worldcat.org/search?q=bn%3A
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   NCIm: http://ncim.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20MetaThesaurus&code=
#   FBbt: 'http://flybase.org/cgi-bin/fbcvq.html?query=FBbt:'
#   TADS: http://purl.obolibrary.org/obo/TADS_
#   TGMA: http://purl.obolibrary.org/obo/TGMA_
#   AAO: http://purl.obolibrary.org/obo/AAO_
#   MO: https://mged.sourceforge.net/ontologies/MGEDontology.php#
#   WBbt: http://www.wormbase.org/get?name=
#   doid: http://purl.obolibrary.org/obo/DOID_
#   MP: http://purl.obolibrary.org/obo/MP_
#   PO: 'http://browser.planteome.org/amigo/term/PO:'
#   ZEA: http://purl.obolibrary.org/obo/ZEA_
#   PMID: https://pubmed.ncbi.nlm.nih.gov/
#   FBdv: 'http://flybase.org/cgi-bin/fbcvq.html?query=FBdv:'
#   WBls: http://www.wormbase.org/get?name=
#   JAX: https://www.jax.org/strain/
#   CLO: http://purl.obolibrary.org/obo/CLO_
#   RRID: 'https://scicrunch.org/resolver/RRID:'
#   PR: http://purl.obolibrary.org/obo/PR_
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   CASRN: https://commonchemistry.cas.org/detail?cas_rn=
#   DSSTox_Generic_SID: https://pubchem.ncbi.nlm.nih.gov/substance/
#   OMIMPS: https://omim.org/MIM:PS
#   GO: 'http://amigo.geneontology.org/amigo/term/GO:'
#   obi: http://purl.obolibrary.org/obo/OBI_
#   SCTID_2010_1_31: http://purl.bioontology.org/ontology/SNOMEDCT/
#   IDO: http://purl.obolibrary.org/obo/IDO_
#   UniProt: http://purl.uniprot.org/uniprot/
#   ORDO: http://www.orpha.net/ORDO/Orphanet_
#   uniprot: http://purl.uniprot.org/uniprot/
#   doi: http://dx.doi.org/
#   cmo: http://purl.obolibrary.org/obo/CMO_
#   OBA: http://purl.obolibrary.org/obo/OBA_
#   uniprot.disease: https://www.uniprot.org/diseases/
#   Reactome: https://www.reactome.org/content/detail/
#   CMO: http://purl.obolibrary.org/obo/CMO_
#   ORCID: https://orcid.org/
#   Medgen: https://www.ncbi.nlm.nih.gov/medgen/
#   PubChem: https://pubchem.ncbi.nlm.nih.gov/compound/
#   VT: http://purl.obolibrary.org/obo/VT_
#   snomedct: http://purl.bioontology.org/ontology/SNOMEDCT/
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label
EFO:0000094	oboInOwl:hasDbXref	DOID:7061	semapv:UnspecifiedMatching	obsolete_B-cell acute lymphoblastic leukemia	
EFO:0000094	oboInOwl:hasDbXref	EFO:0000094	semapv:UnspecifiedMatching	obsolete_B-cell acute lymphoblastic leukemia	obsolete_B-cell acute lymphoblastic leukemia
EFO:0000094	oboInOwl:hasDbXref	NCIT:C8936	semapv:UnspecifiedMatching	obsolete_B-cell acute lymphoblastic leukemia	
EFO:0000094	oboInOwl:hasDbXref	SCTID:277571004	semapv:UnspecifiedMatching	obsolete_B-cell acute lymphoblastic leukemia	
EFO:0000095	oboInOwl:hasDbXref	DOID:1040	semapv:UnspecifiedMatching	obsolete_chronic lymphocytic leukemia	
EFO:0000095	oboInOwl:hasDbXref	EFO:0000095	semapv:UnspecifiedMatching	obsolete_chronic lymphocytic leukemia	obsolete_chronic lymphocytic leukemia
EFO:0000095	oboInOwl:hasDbXref	MESH:D015451	semapv:UnspecifiedMatching	obsolete_chronic lymphocytic leukemia	
EFO:0000095	oboInOwl:hasDbXref	MedDRA:10008958	semapv:UnspecifiedMatching	obsolete_chronic lymphocytic leukemia	
EFO:0000095	oboInOwl:hasDbXref	NCIT:C3163	semapv:UnspecifiedMatching	obsolete_chronic lymphocytic leukemia	
EFO:0000095	oboInOwl:hasDbXref	OMIM:151400	semapv:UnspecifiedMatching	obsolete_chronic lymphocytic leukemia	
EFO:0000095	oboInOwl:hasDbXref	Orphanet:67038	semapv:UnspecifiedMatching	obsolete_chronic lymphocytic leukemia	
EFO:0000095	oboInOwl:hasDbXref	UMLS:C0023434	semapv:UnspecifiedMatching	obsolete_chronic lymphocytic leukemia	
EFO:0000095	oboInOwl:hasDbXref	UMLS:C0855095	semapv:UnspecifiedMatching	obsolete_chronic lymphocytic leukemia	
EFO:0000096	oboInOwl:hasDbXref	NCIT:C3457	semapv:UnspecifiedMatching	obsolete_neoplasm of mature B-cells	
EFO:0000096	oboInOwl:hasDbXref	DOID:706	semapv:UnspecifiedMatching	obsolete_neoplasm of mature B-cells	
EFO:0000096	oboInOwl:hasDbXref	EFO:0000096	semapv:UnspecifiedMatching	obsolete_neoplasm of mature B-cells	obsolete_neoplasm of mature B-cells
EFO:0000096	oboInOwl:hasDbXref	NCIT:C27910	semapv:UnspecifiedMatching	obsolete_neoplasm of mature B-cells	
EFO:0000096	oboInOwl:hasDbXref	SCTID:269476000	semapv:UnspecifiedMatching	obsolete_neoplasm of mature B-cells	
EFO:0000096	oboInOwl:hasDbXref	UMLS:C1334633	semapv:UnspecifiedMatching	obsolete_neoplasm of mature B-cells	
EFO:0000097	oboInOwl:hasDbXref	CL:0000236	semapv:UnspecifiedMatching	obsolete_B-lymphocyte	
EFO:0000097	oboInOwl:hasDbXref	NCIt:C12474	semapv:UnspecifiedMatching	obsolete_B-lymphocyte	
EFO:0000102	oboInOwl:hasDbXref	CL:0000236	semapv:UnspecifiedMatching	obsolete_B lymphocyte	
EFO:0000102	oboInOwl:hasDbXref	NCIt:C12474	semapv:UnspecifiedMatching	obsolete_B lymphocyte	
EFO:0000103	oboInOwl:hasDbXref	DOID:14691	semapv:UnspecifiedMatching	obsolete_Becker's muscular dystrophy	
EFO:0000103	oboInOwl:hasDbXref	OMIM:300376	semapv:UnspecifiedMatching	obsolete_Becker's muscular dystrophy	
EFO:0000105	oboInOwl:hasDbXref	NCIt:C22609	semapv:UnspecifiedMatching	obsolete_CNS brain cerebellum MMHCC	
EFO:0000106	oboInOwl:hasDbXref	NCIt:C22615	semapv:UnspecifiedMatching	obsolete_CNS brain hippocampus MMHCC	
EFO:0000107	oboInOwl:hasDbXref	BTO:0000614	semapv:UnspecifiedMatching	obsolete_hypothalamus	
EFO:0000107	oboInOwl:hasDbXref	EHDAA:5446	semapv:UnspecifiedMatching	obsolete_hypothalamus	
EFO:0000107	oboInOwl:hasDbXref	EMAPA:17536	semapv:UnspecifiedMatching	obsolete_hypothalamus	
EFO:0000107	oboInOwl:hasDbXref	EV:0100225	semapv:UnspecifiedMatching	obsolete_hypothalamus	
EFO:0000107	oboInOwl:hasDbXref	FMA:62008	semapv:UnspecifiedMatching	obsolete_hypothalamus	
EFO:0000107	oboInOwl:hasDbXref	MA:0000173	semapv:UnspecifiedMatching	obsolete_hypothalamus	
EFO:0000107	oboInOwl:hasDbXref	MAT:0000112	semapv:UnspecifiedMatching	obsolete_hypothalamus	
EFO:0000107	oboInOwl:hasDbXref	NCIt:C22616	semapv:UnspecifiedMatching	obsolete_hypothalamus	
EFO:0000107	oboInOwl:hasDbXref	TAO:0000032	semapv:UnspecifiedMatching	obsolete_hypothalamus	
EFO:0000107	oboInOwl:hasDbXref	ZFA:0000032	semapv:UnspecifiedMatching	obsolete_hypothalamus	
EFO:0000108	oboInOwl:hasDbXref	BTO:0001362	semapv:UnspecifiedMatching	obsolete_olfactory lobe	
EFO:0000108	oboInOwl:hasDbXref	EHDAA:5480	semapv:UnspecifiedMatching	obsolete_olfactory lobe	
EFO:0000108	oboInOwl:hasDbXref	EMAPA:17778	semapv:UnspecifiedMatching	obsolete_olfactory lobe	
EFO:0000108	oboInOwl:hasDbXref	EV:0100173	semapv:UnspecifiedMatching	obsolete_olfactory lobe	
